Method,Description,Arguments/Defaults,Returns
``addAlias``,add an ``Alias``,"``name`` (``string``), ``aliasWith`` (``Set``, ``Alias``)",``Alias`` object
``addUniverseAlias``,add a ``UniverseAlias``,``name`` (``string``),``UniverseAlias`` object
``addEquation``,add an ``Equation``,"``name`` (``string``), ``type`` (``string``) , ``domain=NULL`` (``string``, ``list``) , ``records=NULL`` (``data frame``, ``vector``, ``NULL``) , ``domainForwarding=FALSE`` (``logical``) , ``description=""""`` (``string``)",``Equation`` object
``addParameter``,add a ``Parameter``,"``name`` (``string``) , ``domain=NULL`` (``string``, ``list``) , ``records=NULL`` (``data frame``, ``array``, ``matrix``) , ``domainForwarding=FALSE`` (``logical``) , ``description=""""`` (``string``)",``Parameter`` object
``addSet``,add a ``Set``,"``name`` (``string``) , ``domain=""*""`` (``string``,``list``) , ``isSingleton=FALSE`` (``logical``) , ``records=NULL`` (``data frame``, ``array``, ``matrix``) , ``domainForwarding=FALSE`` (``logical``) , ``description=""""`` (``string``)",``Set`` object
``addVariable``,add a ``Variable``,"``name`` (``string``) , ``type=""free""`` (``string``) , ``domain=NULL`` (``string``, ``list``) , ``records=NULL`` (``data frame``, ``array``, ``matrix``) , ``domainForwarding=FALSE`` (``logical``) , ``description=""""`` (``string``)",``Variable`` object
``copy``,copies ``symbols`` to the ``destination`` container. ``overwrite=TRUE`` overwrites the symbols with the same name in ``destination``. Symbol domains are ``relaxed`` if ``destination`` Container does not contain equivalent domain sets,"``destination`` (Container), ``symbols=NULL (character)``, ``overwrite=FALSE`` (logical)",``NULL``
``countDomainViolations``,returns a named list containing number of domain violations symbols with non-zero domain violations,"``symbols=NULL`` (``character``) - if ``NULL``, assumes all symbols",``list``
``countDuplicateRecords``,returns a named list containing number of duplicate records for symbols with non-zero duplicate records,"``symbols=NULL`` (``character``) - if ``NULL``, assumes all symbols",``list``
``describeAliases``,create a summary table with descriptive statistics for ``Aliases``,"``symbols=NULL`` (``string``) - if ``NULL``, assumes all Aliases",``data frame``
``describeEquations``,create a summary table with descriptive statistics for ``Equations``,"``symbols=NULL`` (``string``) - if ``NULL``, assumes all equations",``data frame``
``describeParameters``,create a summary table with descriptive statistics for ``Parameters``,"``symbols=NULL`` (``string``) - if ``NULL``, assumes all parameters",``data frame``
``describeSets``,create a summary table with descriptive statistics for ``Sets``,"``symbols=NULL`` (``string``) - if ``NULL``, assumes all sets",``data frame``
``describeVariables``,create a summary table with descriptive statistics for ``Variables``,"``symbols=NULL`` (``string``) - if ``NULL``, assumes all variables",``data frame``
``dropDomainViolations``,drops domain violations for symbols in the Container,"``symbols=NULL`` (``character``) - if ``NULL``, assumes all symbols",-
``dropDuplicateRecords``,drops duplicate records for symbols in the Container,"``symbols=NULL`` (``character``) - if ``NULL``, assumes all symbols, ``keep=first/last``",-
``equals``,Check if two Container objects are equal,"``other`` (``Container``), ``verbose=FALSE``",logical
``getAliases``,returns a list of object references for ``Aliases`` that are ``isValid``,``isValid=NULL`` (``logical``),``list``
``getDomainViolations``,gets domain violations for symbols in the Container,"``symbols=NULL`` (``character``) - if ``NULL``, assumes all symbols",list of ``DomainViolation``
``getEquations``,returns a list of object references for ``Equations`` that are ``isValid``,``isValid=NULL`` (``logical``),``list``
``getParameters``,returns a list of object references for ``Parameters`` that are ``isValid``,``isValid=NULL`` (``logical``),``list``
``getSets``,returns a list of object references for ``Sets`` that are ``isValid``,``isValid=NULL`` (``logical``),``list``
